txn_id,raw_vendor_name,legal_entity,tax_id,amount,txn_date,reference,currency
T001,Amazon Web Services,AWS India Pvt Ltd,AAACA1111A,12000,2026-08-05,INV-AWS-101,INR
T002,Amazon Web Services,AWS India Pvt Ltd,AAACA1111A,8500,2026-08-10,INV-AWS-102,INR
T003,Amazon Web Services,AWS India Pvt Ltd,AAACA1111A,15300,2026-08-15,INV-AWS-103,INR
T004,AWS,AWS India Pvt Ltd,AAACA1111A,6000,2026-08-18,INV-AWS-104,INR
T005,Amazon Web Services Inc.,AWS India Pvt Ltd,AAACA1111A,9000,2026-08-20,INV-AWS-105,INR
T006,Amazon Web Services,AWS India Pvt Ltd,AAACA1111A,4500,2026-08-10,INV-AWS-106,INR
T007,TCS,TCS Ltd,AAACA2222B,22000,2026-08-03,INV-TCS-201,INR
T008,Tata Consultancy Services,TCS Ltd,AAACA2222B,5400,2026-08-12,INV-TCS-202,INR
T009,TCS,TCS Ltd,AAACA2222B,3000,2026-08-14,,INR
T010,TCS,TCS Ltd,AAACA2222B,7700,2026-08-16,INV-TCS-204,INR
T011,Microsoft Corp,Microsoft India Pvt Ltd,AAACA3333C,10000,2026-08-05,INV-MS-301,INR
T012,Microsoft Corp,Microsoft India Pvt Ltd,AAACA3333C,5000,2026-08-09,INV-MS-302,INR
T013,Google Cloud,Google India Pvt Ltd,AAACA4444D,5000,2026-08-11,,INR
T014,Reliance Industries Ltd,Reliance Industries Ltd,AAACA5555E,15000,2026-08-13,,INR
T015,Infosys Limited,Infosys BPM Ltd,AAACA6666F,12000,2026-08-02,INV-INF-501,INR
T016,Infosys Limited,Infosys BPM Ltd,AAACA6666F,8000,2026-08-05,INV-INF-501,INR
T017,Infosys Limited,Infosys BPM Ltd,AAACA6666F,12000,2026-08-16,INV-INF-502,INR
T018,Wipro Ltd,Wipro Enterprises,AAACA7777G,7000,2026-08-05,INV-WIP-601,INR
T019,Wipro Ltd,Wipro Enterprises,AAACA7777G,15500,2026-08-19,INV-WIP-602,INR
T020,HCL Technologies,HCL Technologies Ltd,AAACA8888H,10000,2026-08-08,INV-HCL-701,INR
T021,HCL Technologies,HCL Technologies Ltd,AAACA8888H,10000,2026-08-02,INV-HCL-702,INR
T022,HCL Technologies,HCL Technologies Ltd,AAACA8888H,10000,2026-08-16,INV-HCL-703,INR
T023,Adani Enterprises Ltd,Adani Enterprises Ltd,AAACA9999I,6000,2026-08-22,INV-ADN-802,INR
T024,Zoho Corp,Zoho Corp Pvt Ltd,AAACA1010J,4500,2026-08-08,INV/2026_0045/DEP,INR
T025,Zoho Corp,Zoho Corp Pvt Ltd,AAACA1010J,6200,2026-08-18,INV_2026-0099-DEPST,INR
T026,Zoho Corp,Zoho Corp Pvt Ltd,AAACA1010J,4970,2026-08-09,INV-ZOH-901,INR
T027,Zoho Corp,Zoho Corp Pvt Ltd,AAACA1010J,11950,2026-08-21,INV-ZOH-902,INR
T028,Freshworks Inc,Freshworks India Pvt Ltd,AAACA1111K,10000,2026-08-23,,INR
T029,ABC Ltd,,,5000,2026-08-10,INV-ABC-01,INR
T030,Sunrise Traders,,,7500,2026-08-19,INV-SUN-01,INR
